industry,industry_uuid,category,subcategory_1,subcategory_2,subcategory_3,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair,"","","",olit_08bcb5ce8dee4caebac6c1515e4996fd,Journeyman,"𝐓𝐞𝐜𝐡𝐧𝐢𝐜𝐢𝐚𝐧 𝐧𝐨𝐭𝐞𝐬

𝐄𝐫𝐫𝐨𝐫:
𝐅𝐨𝐮𝐧𝐝:
𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧:
𝐀𝐝𝐝𝐢𝐭𝐢𝐨𝐧𝐚𝐥 𝐈𝐬𝐬𝐮𝐞:
𝐍𝐞𝐱𝐭 𝐒𝐭𝐞𝐩𝐬:",$152.00,$70.00,true,per hour,JOURNEYMAN,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair,"","","",olit_df23b1d4f6b14658bca983a188955830,Technician,"𝐓𝐞𝐜𝐡𝐧𝐢𝐜𝐢𝐚𝐧 𝐧𝐨𝐭𝐞𝐬

𝐄𝐫𝐫𝐨𝐫:
𝐅𝐨𝐮𝐧𝐝:
𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧:
𝐀𝐝𝐝𝐢𝐭𝐢𝐨𝐧𝐚𝐥 𝐈𝐬𝐬𝐮𝐞:
𝐍𝐞𝐱𝐭 𝐒𝐭𝐞𝐩𝐬:",$132.00,$50.00,true,per hour,TECHNICIAN,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair,"","","",olit_f9c1f6c7fea74a03af9f570d3864bc0f,Helper,"𝐓𝐞𝐜𝐡𝐧𝐢𝐜𝐢𝐚𝐧 𝐧𝐨𝐭𝐞𝐬

𝐄𝐫𝐫𝐨𝐫:
𝐅𝐨𝐮𝐧𝐝:
𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧:
𝐀𝐝𝐝𝐢𝐭𝐢𝐨𝐧𝐚𝐥 𝐈𝐬𝐬𝐮𝐞:
𝐍𝐞𝐱𝐭 𝐒𝐭𝐞𝐩𝐬:",$122.00,$40.00,true,per hour,HELPER,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Repair,"","","",olit_d9903d7fd87a4e5dbdb8b19a7c05fef6,Repair,"
Includes travel and up to two hours on-site. This ensures our technician can perform a thorough diagnostic and repair, aiming to fix the issue correctly on the first visit. If more time is needed, the technician will discuss any additional costs with you at the two-hour mark.

𝐓𝐞𝐜𝐡𝐧𝐢𝐜𝐢𝐚𝐧 𝐧𝐨𝐭𝐞𝐬

𝐏𝐫𝐨𝐛𝐥𝐞𝐦: 
𝐅𝐨𝐮𝐧𝐝: 
𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧: 
𝐑𝐞𝐬𝐮𝐥𝐭: ",$330.00,$125.00,true,Each,REPAIR,true
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Promotions & special offers,"","","",olit_c631f802b51d46d590ea87a7e5f8a566,Replacement of Thermostats at Mayfair ,"",$89.00,$25.00,true,Each,"",false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Ventilation,"","",olit_0ced024afc674d30a80245633f7527dc,Regular HRV/ERV,"Regular maintenance of HRV/ERV system, including core and filter cleaning. Refer to the attached checklist for details. Filter replacement not included.",$198.00,$75.00,true,Each,MAINTRHRV,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Ventilation,"","",olit_2c8dda6f7f924f488b5b7672fe641635,Ventilation fan cleaning,"Cleaning of ventilation fan components, including blades and housing, to improve airflow and efficiency.",$132.00,$50.00,true,Each,MAINTVFC,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Geothermal,"","",olit_1fb3a61336a64bd68387311bab44fe60,Major geothermal maintenance,Major geothermal maintenance. Refer to the attached checklist for details.,$396.00,$150.00,true,Each,MAINTMGEO,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Geothermal,"","",olit_ff7c894943cb4672bc0a2b9d7738e98d,Regular geothermal maintenance,Regular geothermal maintenance. Refer to the attached checklist for details.,$264.00,$100.00,true,Each,MAINTRGEO,false
Heating & Air Conditioning,ind_b7d828eaa0a9422fb4d526f7cfc75520,Maintenance,Hot water,"","",olit_97563f80183e425ea1353557026f16e8,Regular heat pump pool heater,Regular heat pump pool heater maintenance. Refer to the attached checklist for details.,$264.00,$100.00,true,Each,MAINTRHPPH,false
